curve_id,x,y
fl-4.0-structure-122,4.0,27.0
fl-4.0-structure-122,5.0,32.0
fl-4.0-structure-122,6.0,37.0
fl-4.0-structure-122,7.0,43.0
fl-4.0-structure-122,8.0,48.0
fl-4.0-structure-122,9.0,51.0
fl-4.0-structure-122,10.0,53.0
fl-4.0-structure-122,11.0,55.0
fl-4.0-structure-122,12.0,57.0
fl-4.0-structure-122,13.0,59.0
fl-4.0-structure-122,14.0,60.0
fl-4.0-structure-122,15.0,61.0
fl-4.0-structure-122,16.0,62.0
fl-4.0-structure-122,17.0,63.0
fl-4.0-structure-122,18.0,64.0
fl-4.0-structure-122,19.0,65.0
fl-4.0-structure-122,20.0,66.0
fl-4.0-structure-122,21.0,67.0
fl-4.0-structure-122,22.0,68.0
fl-4.0-structure-122,23.0,69.0
fl-4.0-structure-122,24.0,70.0
fl-4.0-structure-123,-4.0,0.0
fl-4.0-structure-123,-3.0,0.0
fl-4.0-structure-123,-2.0,3.0
fl-4.0-structure-123,-1.0,5.0
fl-4.0-structure-123,0.0,7.0
fl-4.0-structure-123,1.0,9.0
fl-4.0-structure-123,2.0,15.0
fl-4.0-structure-123,3.0,20.0
fl-4.0-structure-123,4.0,26.0
fl-4.0-structure-123,5.0,31.0
fl-4.0-structure-123,6.0,33.0
fl-4.0-structure-123,7.0,36.0
fl-4.0-structure-123,8.0,39.0
fl-4.0-structure-123,9.0,43.0
fl-4.0-structure-123,10.0,45.0
fl-4.0-structure-123,11.0,46.0
fl-4.0-structure-123,12.0,47.0
fl-4.0-structure-123,13.0,48.0
fl-4.0-structure-123,14.0,49.0
fl-4.0-structure-123,15.0,50.0
fl-4.0-structure-123,16.0,51.0
fl-4.0-structure-123,17.0,52.0
fl-4.0-structure-123,18.0,53.0
fl-4.0-structure-123,19.0,54.0
fl-4.0-structure-123,20.0,55.0
fl-4.0-structure-123,21.0,56.0
fl-4.0-structure-123,22.0,57.0
fl-4.0-structure-123,23.0,58.0
fl-4.0-structure-123,24.0,59.0
fl-4.0-structure-124,-4.0,0.0
fl-4.0-structure-124,-3.0,0.0
fl-4.0-structure-124,-2.0,3.0
fl-4.0-structure-124,-1.0,5.0
fl-4.0-structure-124,0.0,6.0
fl-4.0-structure-124,1.0,16.0
fl-4.0-structure-124,2.0,19.0
fl-4.0-structure-124,3.0,22.0
fl-4.0-structure-124,4.0,27.0
fl-4.0-structure-124,5.0,32.0
fl-4.0-structure-124,6.0,35.0
fl-4.0-structure-124,7.0,36.0
fl-4.0-structure-124,8.0,44.0
fl-4.0-structure-124,9.0,48.0
fl-4.0-structure-124,10.0,50.0
fl-4.0-structure-124,11.0,52.0
fl-4.0-structure-124,12.0,54.0
fl-4.0-structure-124,13.0,56.0
fl-4.0-structure-124,14.0,58.0
fl-4.0-structure-124,15.0,59.0
fl-4.0-structure-124,16.0,60.0
fl-4.0-structure-124,17.0,61.0
fl-4.0-structure-124,18.0,62.0
fl-4.0-structure-124,19.0,63.0
fl-4.0-structure-124,20.0,64.0
