curve_id,key,value
fl-6.1-structure-687,comment,RAMPP Inserted
fl-6.1-structure-688,comment,RAMPP Inserted
fl-6.1-structure-689,comment,RAMPP Inserted
fl-6.1-structure-690,comment,RAMPP Inserted
fl-6.1-structure-691,comment,RAMPP Inserted
fl-6.1-structure-692,comment,RAMPP Inserted
fl-6.1-structure-693,comment,RAMPP Inserted
fl-6.1-structure-694,comment,RAMPP Inserted
fl-6.1-structure-695,comment,RAMPP Inserted
fl-6.1-structure-696,comment,RAMPP Inserted
fl-6.1-structure-697,comment,RAMPP Inserted
fl-6.1-structure-698,comment,RAMPP Inserted
fl-6.1-structure-699,comment,RAMPP Inserted
fl-6.1-structure-700,comment,RAMPP Inserted
fl-6.1-structure-701,comment,RAMPP Inserted
fl-6.1-structure-702,comment,RAMPP Inserted
fl-6.1-structure-703,comment,RAMPP Inserted
fl-6.1-structure-704,hazus_default_flag,1.0
fl-6.1-structure-704,comment,RAMPP Inserted
fl-6.1-structure-837,comment,Bottom of lowest horizontal member is 1.0 feet below top of floor.
fl-6.1-structure-838,comment,Bottom of lowest horizontal member is 1.0 feet below top of floor.
fl-6.1-structure-851,comment,USACE Contents DDF % based on contents value equal to 100% building replacement value (BRV)
fl-6.1-structure-852,comment,USACE Contents DDF % based on contents value equal to 100% building replacement value (BRV)
fl-6.1-structure-853,comment,USACE Contents DDF % based on contents value equal to 100% building replacement value (BRV)
fl-6.1-structure-854,comment,USACE Contents DDF % based on contents value equal to 100% building replacement value (BRV)
fl-6.1-structure-855,comment,USACE Contents DDF % based on contents value equal to 100% building replacement value (BRV)
fl-6.1-structure-856,comment,USACE Contents DDF % based on contents value equal to 100% building replacement value (BRV)
fl-6.1-structure-884,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-885,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-886,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-887,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-888,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-889,comment,Applies to Milliman FoundationType (9) BasementFinishType 0
fl-6.1-structure-890,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
fl-6.1-structure-891,comment,"Applies to Milliman FoundationType (4,6,7,8) BasementFinishType 0"
